timestamp,scenario,deployment,label_selector,fault_type,pod_count,current_replicas,real_cpu_m,faulty_cpu_m,real_memory_mi,faulty_memory_mi,desired_replicas_cpu_clean,desired_replicas_cpu_faulty,desired_replicas_memory_clean,desired_replicas_memory_faulty
2026-04-21T19:49:15.417017+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_38.904,1,1,190.0,7391.702,733.0,28516.41,4,124,5,183
2026-04-21T19:49:30.814772+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_8.030,1,1,156.0,1252.636,739.0,5933.962,3,21,5,39
2026-04-21T19:49:46.139380+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_18.143,1,1,183.0,3320.157,735.0,13335.056,4,56,5,86
2026-04-21T19:50:01.569368+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_4.201,1,1,155.0,651.228,739.0,3104.887,3,11,5,20
2026-04-21T19:50:16.852308+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_6.733,1,1,216.0,1454.351,739.0,4975.766,4,25,5,32
2026-04-21T19:50:32.171252+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_74.608,1,1,162.0,12086.541,749.0,55881.601,3,202,5,359
2026-04-21T19:50:47.687142+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_8.545,1,1,177.0,1512.464,740.0,6323.294,3,26,5,41
2026-04-21T19:51:18.522867+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_59.496,1,1,94.0,5592.664,742.0,44146.351,1,19,2,87
2026-04-21T19:51:33.827895+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_97.559,1,1,154.0,15024.084,742.0,72388.77,1,51,2,142
2026-04-21T19:51:49.166782+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_67.972,1,1,89.0,6049.472,742.0,50434.922,1,21,2,99
2026-04-21T19:52:04.479572+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_67.275,1,1,143.0,9620.268,744.0,50052.303,1,33,2,98
2026-04-21T19:52:19.783373+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_3.210,1,1,131.0,420.574,743.0,2385.395,1,2,2,5
2026-04-21T19:52:35.067348+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_69.819,1,1,89.0,6213.895,743.0,51875.554,1,21,2,102
2026-04-21T19:52:50.353733+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_14.364,1,1,120.0,1723.653,766.0,11002.654,1,6,2,22
2026-04-21T19:53:05.629630+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_94.086,1,1,129.0,12137.102,769.0,72352.18,1,41,2,142
2026-04-21T19:53:20.920986+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_70.715,1,1,129.0,9122.236,769.0,54379.838,1,31,2,107
2026-04-21T19:53:36.217341+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_65.974,1,1,124.0,8180.761,771.0,50865.859,1,28,2,100
2026-04-21T19:53:51.544101+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_29.589,1,1,101.0,2988.504,771.0,22813.237,1,10,2,45
2026-04-21T19:54:06.873613+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_42.741,1,1,163.0,6966.76,772.0,32995.945,1,24,2,65
2026-04-21T19:54:22.163190+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_97.774,1,1,97.0,9484.038,773.0,75578.983,1,32,2,148
2026-04-21T19:54:37.492756+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_2.852,1,1,109.0,310.851,772.0,2201.625,1,2,2,5
2026-04-21T19:54:52.793498+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_18.038,1,1,104.0,1875.909,772.0,13925.017,1,7,2,28
2026-04-21T19:55:08.074293+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_57.739,1,1,107.0,6178.076,772.0,44574.533,1,21,2,88
2026-04-21T19:55:23.389501+00:00,random-multiplier,teastore-webui,app=teastore-webui,random_multiplier_99.333,1,1,104.0,10330.669,772.0,76685.354,1,35,2,150
